,createTime,specificEnergy (kWh/kWp),plantid,dayEnergy (kWh),irradiation (Wh/msq),kWp,plant_nr
166,2018-06-11,2.87,100127,30403.34,335.7789222,10593.498257839721,Plant1
167,2018-06-12,5.29,100127,56083.37,661.7543579,10601.771266540643,Plant1
168,2018-06-13,6.7,100127,70974.85,840.5734939,10593.261194029852,Plant1
169,2018-06-14,4.38,100127,46457.26,514.6835775,10606.680365296805,Plant1
170,2018-06-15,4.88,100127,51674.1,622.4602981,10588.954918032787,Plant1
171,2018-06-16,2.33,100127,24726.42,272.1092499,10612.197424892704,Plant1
172,2018-06-17,4.79,100127,50786.4,608.7803202,10602.58872651357,Plant1
173,2018-06-18,2.69,100127,28559.59,310.5097232,10616.947955390335,Plant1
174,2018-06-19,5.59,100127,59237.21,718.2633216,10596.996422182468,Plant1
175,2018-06-20,1.61,100127,17073.03,195.1987444,10604.366459627328,Plant1
176,2018-06-21,5.73,100127,60724.7,735.0893428,10597.678883071552,Plant1
177,2018-06-22,5.8,100127,61501.83,703.41245,10603.76379310345,Plant1
178,2018-06-23,3.98,100127,42174.54,473.9821555,10596.61809045226,Plant1
179,2018-06-24,6.23,100127,66077.51,724.50509,10606.341894060994,Plant1
180,2018-06-25,6.71,100127,71140.95,798.7735963,10602.228017883755,Plant1
181,2018-06-26,6.71,100127,71111.33,770.9584503,10597.813710879285,Plant1
182,2018-06-27,6.77,100127,71724.47,754.6220054,10594.456425406204,Plant1
183,2018-06-28,6.81,100127,72175.1,791.0901935,10598.399412628489,Plant1
184,2018-06-29,6.78,100127,71897.23,794.0434965,10604.311209439527,Plant1
185,2018-06-30,7.06,100127,74827.19,829.5598966,10598.752124645893,Plant1
187,2018-07-01,6.63,100127,70271.47,796.2942169,10599.015082956259,Plant1
188,2018-07-02,6.93,100127,73493.62,819.2335086,10605.139971139972,Plant1
189,2018-07-03,7.0,100127,74156.71,819.0919975,10593.815714285714,Plant1
190,2018-07-04,7.01,100127,74290.37,823.8946999,10597.77032810271,Plant1
191,2018-07-05,2.93,100127,31024.12,348.4218443,10588.43686006826,Plant1
192,2018-07-06,6.97,100127,73840.27,862.0346901,10594.012912482067,Plant1
193,2018-07-07,6.96,100127,73768.06,821.0501247,10598.859195402298,Plant1
194,2018-07-08,6.98,100127,73963.67,816.3947455,10596.514326647564,Plant1
195,2018-07-09,6.87,100127,72811.93,832.9679989,10598.534206695778,Plant1
196,2018-07-10,5.05,100127,53503.09,613.1004933,10594.671287128713,Plant1
197,2018-07-11,5.99,100127,63525.67,703.4529047,10605.28714524207,Plant1
198,2018-07-12,5.09,100127,53931.28,599.0798248,10595.536345776032,Plant1
199,2018-07-13,6.89,100127,73011.19,809.6145735,10596.689404934688,Plant1
200,2018-07-14,4.92,100127,52125.08,567.6887491,10594.528455284553,Plant1
201,2018-07-15,6.03,100127,63891.18,719.059221,10595.552238805969,Plant1
202,2018-07-16,6.64,100127,70413.99,760.4706535,10604.516566265062,Plant1
203,2018-07-17,5.03,100127,53295.76,598.8986393,10595.578528827038,Plant1
204,2018-07-18,5.04,100127,53455.78,595.2480125,10606.305555555555,Plant1
205,2018-07-19,6.08,100127,64400.81,753.1209482,10592.238486842105,Plant1
206,2018-07-20,6.65,100127,70431.42,780.1945609,10591.190977443608,Plant1
207,2018-07-21,5.99,100127,63440.14,727.4931179,10591.008347245408,Plant1
208,2018-07-22,4.81,100127,50940.42,555.6082738,10590.523908523908,Plant1
209,2018-07-23,3.87,100127,41006.31,471.1383173,10595.945736434107,Plant1
210,2018-07-24,6.24,100127,66128.34,718.1547083,10597.490384615383,Plant1
211,2018-07-25,6.03,100127,63864.42,668.546355,10591.114427860695,Plant1
212,2018-07-26,6.47,100127,68600.84,730.8320788,10602.911901081916,Plant1
213,2018-07-27,6.43,100127,68182.41,727.3454661,10603.796267496113,Plant1
214,2018-07-28,5.56,100127,58947.34,651.6995269,10602.039568345324,Plant1
215,2018-07-29,5.69,100127,60301.0,674.4523144,10597.715289982425,Plant1
216,2018-07-30,3.69,100127,39087.41,421.0041388,10592.79403794038,Plant1
217,2018-07-31,3.1,100127,32820.01,353.5785375,10587.1,Plant1
219,2018-08-01,5.13,100127,54404.01,607.5024239,10605.070175438597,Plant1
220,2018-08-02,5.86,100127,62114.84,681.36859,10599.802047781568,Plant1
221,2018-08-03,5.38,100127,57042.41,647.9970728,10602.678438661711,Plant1
222,2018-08-04,4.55,100127,48241.72,568.9465578,10602.575824175825,Plant1
223,2018-08-05,3.87,100127,40973.84,467.5673513,10587.555555555555,Plant1
224,2018-08-06,2.17,100127,22975.47,257.125329,10587.774193548388,Plant1
225,2018-08-07,5.54,100127,58765.86,640.231243,10607.5559566787,Plant1
226,2018-08-08,2.94,100127,31165.99,339.3869085,10600.6768707483,Plant1
227,2018-08-09,5.26,100127,55694.76,617.7373034,10588.35741444867,Plant1
228,2018-08-10,4.02,100127,42657.22,491.1671356,10611.248756218907,Plant1
229,2018-08-11,2.75,100127,29144.46,325.1761874,10597.985454545455,Plant1
230,2018-08-12,1.63,100127,17266.87,197.0150377,10593.171779141105,Plant1
231,2018-08-13,1.09,100127,11601.79,136.6592738,10643.844036697248,Plant1
232,2018-08-14,2.04,100127,21639.09,252.4061715,10607.39705882353,Plant1
233,2018-08-15,4.38,100127,46370.32,514.0772741,10586.831050228311,Plant1
234,2018-08-16,2.2,100127,23347.12,260.1595279,10612.32727272727,Plant1
235,2018-08-17,4.46,100127,47281.98,510.4148099,10601.340807174889,Plant1
236,2018-08-18,1.53,100127,16168.27,183.7574161,10567.496732026144,Plant1
237,2018-08-19,1.05,100127,11077.23,130.8829192,10549.742857142855,Plant1
238,2018-08-20,5.4,100127,57222.81,621.5815226,10596.816666666666,Plant1
239,2018-08-21,4.65,100127,49244.13,561.6748793,10590.135483870967,Plant1
240,2018-08-22,3.89,100127,41215.17,451.7474421,10595.159383033419,Plant1
241,2018-08-23,2.49,100127,26409.31,296.2469447,10606.14859437751,Plant1
242,2018-08-24,2.88,100127,30569.53,336.179672,10614.420138888889,Plant1
243,2018-08-25,3.69,100127,39150.28,432.5809796,10609.831978319782,Plant1
244,2018-08-26,4.22,100127,44713.2,499.2899858,10595.545023696683,Plant1
245,2018-08-27,1.73,100127,18290.12,202.2553635,10572.323699421964,Plant1
246,2018-08-28,2.5,100127,26484.88,294.1995308,10593.952000000001,Plant1
247,2018-08-29,2.57,100127,27288.29,297.1600896,10618.011673151752,Plant1
248,2018-08-30,1.9,100127,20090.16,218.6505982,10573.768421052631,Plant1
249,2018-08-31,3.9,100127,41295.76,476.4075142,10588.656410256412,Plant1
251,2018-09-01,3.7,100127,39254.83,428.4461095,10609.413513513513,Plant1
252,2018-09-02,4.55,100127,48196.39,517.1956328,10592.613186813187,Plant1
253,2018-09-03,2.46,100127,26027.28,290.3965858,10580.19512195122,Plant1
254,2018-09-04,4.72,100127,49986.25,534.0087737,10590.307203389832,Plant1
255,2018-09-05,3.97,100127,42040.76,450.2313123,10589.6120906801,Plant1
256,2018-09-06,3.91,100127,41389.58,467.8510082,10585.570332480818,Plant1
257,2018-09-07,0.91,100127,9616.5,111.4237984,10567.582417582416,Plant1
258,2018-09-08,2.68,100127,28441.46,322.5568946,10612.485074626864,Plant1
259,2018-09-09,2.46,100127,26099.91,295.476238,10609.719512195123,Plant1
260,2018-09-10,3.72,100127,39420.74,442.4620861,10596.97311827957,Plant1
261,2018-09-11,1.08,100127,11473.12,133.5500524,10623.25925925926,Plant1
262,2018-09-12,3.09,100127,32710.24,349.6812842,10585.838187702266,Plant1
263,2018-09-13,2.79,100127,29586.99,326.1235757,10604.655913978495,Plant1
264,2018-09-14,1.58,100127,16769.43,190.3638353,10613.56329113924,Plant1
265,2018-09-15,3.6,100127,38110.38,433.4964944,10586.216666666665,Plant1
266,2018-09-16,2.04,100127,21584.84,234.9446034,10580.803921568628,Plant1
267,2018-09-17,2.91,100127,30890.6,340.9243589,10615.3264604811,Plant1
268,2018-09-18,4.97,100127,52676.23,540.4364735,10598.839034205232,Plant1
269,2018-09-19,1.66,100127,17549.39,196.5612659,10571.921686746988,Plant1
270,2018-09-20,1.21,100127,12827.92,148.3643616,10601.586776859505,Plant1
271,2018-09-21,2.16,100127,22861.33,251.151342,10583.949074074075,Plant1
272,2018-09-22,3.44,100127,36461.85,402.1334044,10599.375,Plant1
273,2018-09-23,3.77,100127,39981.07,430.4359334,10605.058355437666,Plant1
274,2018-09-24,3.96,100127,41927.23,463.5851448,10587.684343434345,Plant1
275,2018-09-25,4.03,100127,42731.97,466.8229798,10603.466501240695,Plant1
276,2018-09-26,0.33,100127,3483.27,47.11578801,10555.363636363636,Plant1
277,2018-09-27,0.86,100127,9124.68,108.374244,10610.093023255815,Plant1
278,2018-09-28,4.3,100127,45553.2,500.0967592,10593.767441860466,Plant1
279,2018-09-29,1.64,100127,17357.46,197.954316,10583.817073170732,Plant1
280,2018-09-30,1.57,100127,16680.25,189.0377229,10624.363057324841,Plant1
282,2018-10-01,3.2,100127,33889.26,368.4975771,10590.39375,Plant1
283,2018-10-02,1.97,100127,20858.41,230.3367558,10588.02538071066,Plant1
284,2018-10-03,3.37,100127,35715.14,394.306778,10597.964391691394,Plant1
285,2018-10-04,1.48,100127,15728.39,178.9066897,10627.29054054054,Plant1
286,2018-10-05,0.98,100127,10357.93,121.0989289,10569.316326530612,Plant1
287,2018-10-06,0.65,100127,6862.45,83.44106964,10557.615384615385,Plant1
